MonitoredData {startTime = 2011-11-28 02:27:59, endTime = 2011-11-28 10:18:11, activityLabel = 'Sleeping'}
MonitoredData {startTime = 2011-12-10 17:11:23, endTime = 2011-12-10 20:16:51, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-10 20:21:54, endTime = 2011-12-10 20:23:16, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-10 20:25:40, endTime = 2011-12-11 00:56:05, activityLabel = 'Leaving'}
MonitoredData {startTime = 2011-12-11 01:01:41, endTime = 2011-12-11 02:26:29, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-11 02:27:23, endTime = 2011-12-11 02:28:44, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-11 02:31:15, endTime = 2011-12-11 11:57:34, activityLabel = 'Sleeping'}
MonitoredData {startTime = 2011-12-11 11:58:17, endTime = 2011-12-11 12:01:27, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-12-11 12:02:25, endTime = 2011-12-11 12:02:39, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-11 12:02:56, endTime = 2011-12-11 12:18:42, activityLabel = 'Showering'}
MonitoredData {startTime = 2011-12-11 12:21:57, endTime = 2011-12-11 12:30:09, activityLabel = 'Breakfast'}
MonitoredData {startTime = 2011-12-11 12:32:49, endTime = 2011-12-11 14:26:18, activityLabel = 'Spare_Time/TV'}
MonitoredData {startTime = 2011-12-11 14:34:12, endTime = 2011-12-11 15:26:17, activityLabel = 'Lunch'}
MonitoredData {startTime = 2011-12-11 15:28:59, endTime = 2011-12-11 15:30:14, activityLabel = 'Toileting'}
MonitoredData {startTime = 2011-12-11 15:41:34, endTime = 2011-12-11 15:43:30, activityLabel = 'Grooming'}
MonitoredData {startTime = 2011-12-11 15:43:51, endTime = 2011-12-11 21:41:48, activityLabel = 'Spare_Time/TV'}
